#=================================================================
# General info
# Report suite: Scotiabank Prod
"# Date: Sep 26, 2021 - Oct 2, 2021"
#=================================================================


##############################################
# iTrade
##############################################
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:nav-btn:About,345,299,283
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:nav-btn:Investments,342,291,281
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:page top CTA:Learn how,271,266,255
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:nav-btn:Pricing,258,250,221
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:nav-btn:Education,217,177,160
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:footer:footer-link-cont,166,162,157
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:page top CTA:Learn more,99,96,96


##############################################
# Getting started - CTAs
##############################################
,,Occurrences,Visits,Unique Visitors
Custom Link (c65),,41,36,35
SB:en:itrade:Get started with direct investing & online trading | Scotia iTRADE®:page middle CTA:Le,,13,12,12
SB:en:itrade:Get started with direct investing & online trading | Scotia iTRADE®:page middle CTA:Le,Custom Link (v65),13,12,12
SB:en:itrade:Get started with direct investing & online trading | Scotia iTRADE®:page middle CTA:Le,SB:en:itrade:Get started with direct investing & online trading | Scotia iTRADE®:page middle CTA:Learn more about account openings,7,7,7
SB:en:itrade:Get started with direct investing & online trading | Scotia iTRADE®:page middle CTA:Le,SB:en:itrade:Get started with direct investing & online trading | Scotia iTRADE®:page middle CTA:Learn how to place a trade,6,6,6
SB:en:itrade:Get started with direct investing & online trading | Scotia iTRADE®:page top CTA:Open,,11,11,10
SB:en:itrade:Get started with direct investing & online trading | Scotia iTRADE®:page top CTA:Open,Custom Link (v65),11,11,10
SB:en:itrade:Get started with direct investing & online trading | Scotia iTRADE®:page top CTA:Open,SB:en:itrade:Get started with direct investing & online trading | Scotia iTRADE®:page top CTA:Open an Account,11,11,10
SB:en:itrade:Get started with direct investing & online trading | Scotia iTRADE®:page top CTA:Sign,,9,9,9
SB:en:itrade:Get started with direct investing & online trading | Scotia iTRADE®:page top CTA:Sign,Custom Link (v65),9,9,9
