#=================================================================
# General info
# Report suite: Scotiabank Prod
"# Date: Jan 30, 2022 - Feb 5, 2022"
#=================================================================


##############################################
# iTrade
##############################################
SB:fr:itrade:Commencez à investir et à gérer vos placements en ligne dès aujourd’hui | Scotia,Entries,453
SB:fr:itrade:Commencez à investir et à gérer vos placements en ligne dès aujourd’hui | Scotia,+13 more,19


#=================================================================
# CTAs Clicked - EN
# Report suite: Scotiabank Global
"# Date: Jan 30, 2022 - Feb 5, 2022"
# Segments: iTrade Hits
#=================================================================


##############################################
# Start direct investing -  CTAs
##############################################
,Occurrences,Visits,Unique Visitors
Custom Link (c65),26842,21550,10235
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:page top CTA:Sign in,23524,19514,8639
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:nav-btn:Accounts,1069,919,761
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:page top CTA:winter off,646,610,575
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:nav-btn:About,307,257,240
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:page top CTA:Learn how,260,255,252
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:nav-btn:Investments,274,246,236
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:nav-btn:Pricing,186,183,168
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:nav-btn:Education,198,169,145
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:footer:footer-link-cont,169,165,156
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:page top CTA:Learn more,76,75,75


##############################################
# Getting started - CTAs
##############################################
,,Occurrences,Visits,Unique Visitors
Custom Link (c65),,43,39,39
SB:en:itrade:Get started with direct investing & online trading | Scotia iTRADE®:page top CTA:Open,,22,19,19
SB:en:itrade:Get started with direct investing & online trading | Scotia iTRADE®:page top CTA:Open,Custom Link (v65),22,19,19
SB:en:itrade:Get started with direct investing & online trading | Scotia iTRADE®:page top CTA:Open,SB:en:itrade:Get started with direct investing & online trading | Scotia iTRADE®:page top CTA:Open an Account,22,19,19
SB:en:itrade:Get started with direct investing & online trading | Scotia iTRADE®:page top CTA:Sign,,8,8,8
SB:en:itrade:Get started with direct investing & online trading | Scotia iTRADE®:page top CTA:Sign,Custom Link (v65),8,8,8
SB:en:itrade:Get started with direct investing & online trading | Scotia iTRADE®:page top CTA:Sign,SB:en:itrade:Get started with direct investing & online trading | Scotia iTRADE®:page top CTA:Sign in,8,8,8
SB:en:itrade:Get started with direct investing & online trading | Scotia iTRADE®:page middle CTA:Le,,5,5,5
SB:en:itrade:Get started with direct investing & online trading | Scotia iTRADE®:page middle CTA:Le,Custom Link (v65),5,5,5
SB:en:itrade:Get started with direct investing & online trading | Scotia iTRADE®:page middle CTA:Le,SB:en:itrade:Get started with direct investing & online trading | Scotia iTRADE®:page middle CTA:Learn more about account openings,4,4,4
SB:en:itrade:Get started with direct investing & online trading | Scotia iTRADE®:page middle CTA:Le,SB:en:itrade:Get started with direct investing & online trading | Scotia iTRADE®:page middle CTA:Learn how to place a trade,1,1,1
SB:en:itrade:Get started with direct investing & online trading | Scotia iTRADE®:nav-btn:Accounts,,2,2,2
SB:en:itrade:Get started with direct investing & online trading | Scotia iTRADE®:nav-btn:Pricing,,1,1,1
