Week,HTML,Unique Visitors
2020-05-31,https://www.scotiawealthmanagement.com/ca/en/home/scotiatrust/foundations.html,46
2020-05-31,https://www.scotiawealthmanagement.com/ca/en/home/scotiatrust/jp-bickell-foundation.html,33
2020-05-31,https://www.scotiawealthmanagement.com/mx/es/pagina-principal/contactanos.html,26
2020-05-31,https://www.scotiawealthmanagement.com/ca/en/home/resource-centre/tax/important-tax-dates.html,23
2020-05-31,https://www.scotiawealthmanagement.com/mx/es/pagina-principal/soluciones-financieras.html,20
2020-05-31,https://www.scotiawealthmanagement.com/ca/en/home/resource-centre/tax/client-guide-faq.html,19
2020-05-31,https://www.scotiawealthmanagement.com/intl/en/home/private-banking.html,19
2020-05-31,https://www.scotiawealthmanagement.com/ca/en/home/not-yet-a-client/thank-you.html,18
2020-05-31,https://www.scotiawealthmanagement.com/intl/en/home/contact-us.html,17
2020-05-31,https://www.scotiawealthmanagement.com/intl/en/home/investment-management.html,16
2020-05-31,https://www.scotiawealthmanagement.com/ca/en/home/scotiatrust/jp-bickell-foundation/application-proc,16
2020-05-31,https://www.scotiawealthmanagement.com/ca/en/home/resource-centre/complaint-handling-procedures.html,14
2020-06-07,https://www.scotiawealthmanagement.com/ca/en/home.html,1712
2020-06-07,https://www.scotiawealthmanagement.com/ca/en/home/investment-management/scotiamcleod.html,553
2020-06-07,https://www.scotiawealthmanagement.com/mx/es/pagina-principal.html,330
2020-06-07,https://www.scotiawealthmanagement.com/ca/en/home/resource-centre/scotiamcleod-online.html,215
2020-06-07,https://www.scotiawealthmanagement.com/ca/en/home/not-yet-a-client/contact-us.html,173
2020-06-07,https://www.scotiawealthmanagement.com/ca/en/home/investment-management.html,262
2020-06-07,https://www.scotiawealthmanagement.com/ca/en/home/private-banking.html,225
2020-06-07,https://www.scotiawealthmanagement.com/ca/en/home/about-us.html,159
2020-06-07,https://www.scotiawealthmanagement.com/ca/fr/accueil.html,157
2020-06-07,https://www.scotiawealthmanagement.com/ca/en/home/scotiatrust.html,173
