Week,Business Unit,Channel,Spend
2020-10-04,iTrade,TV,2154.0
2020-10-11,iTrade,TV,2308.0
2020-10-18,iTrade,TV,2297.0
2020-10-25,iTrade,TV,2440.0
2020-11-01,iTrade,TV,2288.0
2020-11-08,iTrade,TV,2846.0
2020-11-15,iTrade,TV,456.0
2020-11-22,iTrade,TV,529.0
2020-11-29,iTrade,TV,445.0
2020-12-06,iTrade,TV,1371.0
2020-12-13,iTrade,TV,1231.0
2020-12-20,iTrade,TV,1982.0
2020-12-27,iTrade,TV,2131.0
2021-01-03,iTrade,TV,2229.0
2021-01-10,iTrade,TV,2168.0
2021-01-17,iTrade,TV,2105.0
2021-01-24,iTrade,TV,2155.0
2021-01-31,iTrade,TV,2605.0
2021-02-07,iTrade,TV,2167.0
2021-02-14,iTrade,TV,2080.0
2021-02-21,iTrade,TV,2161.0
2021-02-28,iTrade,TV,2161.0
2021-03-07,iTrade,TV,2161.0
2021-03-14,iTrade,TV,2378.0
2021-03-21,iTrade,TV,2582.0
2021-03-28,iTrade,TV,2520.0
2021-04-04,iTrade,TV,2535.0
2021-04-11,iTrade,TV,2637.0
2021-04-18,iTrade,TV,0.0
2021-04-25,iTrade,TV,2520.0
2021-05-02,iTrade,TV,2859.0
2021-05-09,iTrade,TV,2582.0
2021-05-16,iTrade,TV,2576.0
2021-05-23,iTrade,TV,2518.0
2021-05-30,iTrade,TV,2582.0
2021-06-06,iTrade,TV,2582.0
2021-06-13,iTrade,TV,2582.0
2021-06-20,iTrade,TV,2582.0
2021-06-27,iTrade,TV,2512.0
2021-07-04,iTrade,TV,2582.0
2021-07-11,iTrade,TV,2506.0
2021-07-18,iTrade,TV,2568.0
2021-07-25,iTrade,TV,2618.0
2021-08-01,iTrade,TV,2716.0
2021-08-08,iTrade,TV,2582.0
2021-08-15,iTrade,TV,2579.0
2021-08-22,iTrade,TV,2540.0
2021-08-29,iTrade,TV,2644.0
2021-09-05,iTrade,TV,2586.0
2021-09-12,iTrade,TV,2818.0
2021-09-19,iTrade,TV,2717.0
2021-09-26,iTrade,TV,2717.0
2021-10-03,iTrade,TV,2719.0
2021-10-10,iTrade,TV,2715.0
2021-10-17,iTrade,TV,2719.0
2021-10-24,iTrade,TV,2611.0
2021-10-31,iTrade,TV,0.0
2021-11-07,iTrade,TV,2841.0
2021-11-14,iTrade,TV,2920.0
2021-11-21,iTrade,TV,2458.0
2021-11-28,iTrade,TV,2368.0
2021-12-05,iTrade,TV,2306.0
2021-12-12,iTrade,TV,2132.0
2021-12-19,iTrade,TV,2177.0
2021-12-26,iTrade,TV,2115.0
2022-01-02,iTrade,TV,2070.0
2022-01-09,iTrade,TV,2239.0
2022-01-16,iTrade,TV,2284.0
2022-01-23,iTrade,TV,2084.0
2022-01-30,iTrade,TV,2222.0
2022-02-06,iTrade,TV,2226.0
2022-02-13,iTrade,TV,2177.0
2022-02-20,iTrade,TV,2177.0
2022-02-27,iTrade,TV,2177.0
2022-03-06,iTrade,TV,2100.0
2022-03-13,iTrade,TV,2253.0
2022-03-20,iTrade,TV,2177.0
2022-03-27,iTrade,TV,2246.0
2022-04-03,iTrade,TV,2322.0
2022-04-10,iTrade,TV,2177.0
